Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Mexico,MEX,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,5,7,9,11,13,16,19,22,25,28,32,47,47,50,..
Mexico,MEX,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.35,4.63,6.59,9.31,11.21,13.6,17.61,21.6,25.61,29.52,33.29,37.5,41.97,45.52,50.06,..
Mexico,MEX,"Account at a financial institution, female (% age 15+) [ts]",WP_time_01.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.96588,..,..,38.84355,..
Mexico,MEX,"Account at a financial institution, male (% age 15+) [ts]",WP_time_01.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.19209,..,..,38.53702,..
Mexico,MEX,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,116.4508,116.6804,116.91,116.91,116.91,116.91,116.91,116.91,117.4558,118.0016,118.5474,119.0932,119.639,117.5964,115.5538,113.5112,111.4686,109.426,107.0974,104.7688,102.4402,100.1116,97.783,95.9352,94.0874,92.2396,90.3918,88.544,86.8004,85.0568,83.3132,81.5696,79.826,80.6896,81.5532,82.4168,83.2804,84.144,82.6598,81.1756,79.6914,78.2072,76.723,75.6132,74.5034,73.3936,72.2838,71.174,70.1332,69.0924,68.0516,67.0108,65.97,64.7146,63.4592,..
Mexico,MEX,"Age at first marriage, female",SP.DYN.SMAM.FE,..,..,..,..,..,..,..,..,..,..,21.2,..,..,..,..,..,..,..,..,..,21.6,..,..,..,..,..,..,22,..,..,22.4,..,..,..,..,23,..,..,..,..,22.7,..,..,..,..,..,..,..,..,24.2,23,..,..,..,..,..
Mexico,MEX,"Age at first marriage, male",SP.DYN.SMAM.MA,..,..,..,..,..,..,..,..,..,..,24.4,..,..,..,..,..,..,..,..,..,24.1,..,..,..,..,..,..,..,..,..,24.7,..,..,..,..,25.1,..,..,..,..,25,..,..,..,..,..,..,..,..,26.6,25.5,..,..,..,..,..
Mexico,MEX,Age dependency ratio (% of working-age population),SP.POP.DPND,97.2135901424703,98.2094140166627,99.4362545012824,100.662868765726,101.527371854089,101.876952213209,102.217049921739,102.114879634831,101.717592028564,101.298172931155,101.011197625102,100.975092832981,101.121591104559,101.301894924046,101.250182635821,100.819162757302,100.78389296021,100.056878638268,98.9091324940033,97.6782249167866,96.4796153916675,94.5982797033481,93.0327307148786,91.5347684876953,89.7919527943924,87.7183176566058,85.3945605358039,82.9332154572138,80.4521005502349,78.1555183557319,76.142287911872,74.4217181090396,72.833914097804,71.3983998960827,70.1132401595374,68.9638192619508,68.0282336919863,67.2019474316725,66.4259211937409,65.6280502263671,64.7766562913595,63.9383436376605,63.0927773898293,62.2524458032152,61.4467994205813,60.6869168060887,59.6844279089393,58.7271226464495,57.7892710594514,56.8429341611278,55.8866124413053,54.9556345631044,54.0401120467352,53.1679615933222,52.3757504533326,..
Mexico,MEX,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,737446,755341,781615,813440,846471,877359,903076,925931,949269,977601,1013488,1060227,1113953,1165244,1201747,1215167,1197396,1158905,1110007,1066060,1038941,1036863,1050940,1075968,1103454,1126653,1142563,1154607,1163535,1170746,1177349,1181367,1184160,1186171,1188212,1190848,1197142,1204297,1210180,1211978,1207945,1199752,1186126,1170048,1155547,1145499,1136300,1131260,1129814,1130850,1133316,1138260,1144661,1150573,1153480,..
Mexico,MEX,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,761793,780633,806295,836639,868362,898889,925747,950539,976313,1007133,1045194,1094154,1149790,1202567,1240056,1253924,1235803,1196514,1146557,1101623,1073911,1072814,1088139,1114685,1143906,1168947,1186744,1200735,1211386,1219728,1226673,1230117,1231645,1231999,1232407,1233754,1238127,1243770,1248752,1250462,1247206,1240297,1228849,1215476,1203739,1196189,1189135,1186015,1185991,1187636,1189731,1193197,1197143,1200232,1200787,..
