Code,Indicator Name,Long definition,Source
SH.HIV.ARTC.FE.ZS,Antiretroviral therapy coverage (% of adult females living with HIV),The percentage of adult females living with HIV who are receiving antiretroviral therapy.,UNAIDS estimates.
SH.HIV.ARTC.MA.ZS,Antiretroviral therapy coverage (% of adult males living with HIV),The percentage of adult males living with HIV who are receiving antiretroviral therapy.,UNAIDS estimates.
WP_time_01.3,"Account at a financial institution, female (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_01.2,"Account at a financial institution, male (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Adolescent fertility rate is the number of births per 1,000 women ages 15-19.","United Nations Population Division, World Population Prospects."
SP.DYN.SMAM.FE,"Mean age at first marriage, female","Mean age at marriage, female shows the average length of single life expressed in years among those females who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data."
SP.DYN.SMAM.MA,"Mean age at first marriage, male","Mean age at marriage, male shows the average length of single life expressed in years among those males who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data."
SP.POP.DPND,Age dependency ratio (% of working-age population),Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.,"World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.AG00.FE.IN,"Age population, age 0, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG00.MA.IN,"Age population, age 0, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG01.FE.IN,"Age population, age 01, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG01.MA.IN,"Age population, age 01, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG02.FE.IN,"Age population, age 02, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG02.MA.IN,"Age population, age 02, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG03.FE.IN,"Age population, age 03, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG03.MA.IN,"Age population, age 03, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
